51.222.253.11 - - [24/Aug/2025:00:37:52 +0700] "GET /robots.txt HTTP/2.0" 200 65 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
51.222.253.16 - - [24/Aug/2025:00:38:03 +0700] "GET / HTTP/1.0" 302 4315 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
182.253.238.235 - - [24/Aug/2025:01:42:23 +0700] "GET /elfinder/php/connector.minimal.php?cmd=file&target=l1_<@base64>/var/www/html/elfinder/files//..//..//..//..//..//../etc/passwd<@/base64>&download=1 HTTP/1.0" 404 5142 "-" "Mozilla/5.0 (Fedora; Linux i686; rv:128.0) Gecko/20100101 Firefox/128.0"
194.233.64.236 - - [24/Aug/2025:01:52:14 +0700] "GET /wp-login.php HTTP/1.0" 302 513 "-" "Mozilla/5.0"
194.233.64.236 - - [24/Aug/2025:01:52:15 +0700] "GET /wp-login.php HTTP/1.0" 404 5142 "-" "Mozilla/5.0"
182.253.238.235 - - [24/Aug/2025:02:07:52 +0700] "GET /mims/updatecustomer.php?customer_number=-1'%20UNION%20ALL%20SELECT%20NULL,NULL,CONCAT(md5(999999999),1,2),NULL,NULL,NULL,NULL,NULL,NULL' HTTP/1.0" 404 5142 "-" "Mozilla/5.0 (Fedora; Linux i686; rv:132.0) Gecko/20100101 Firefox/132.0"
174.138.17.46 - - [24/Aug/2025:02:24:26 +0700] "GET / HTTP/1.0" 302 4315 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
174.138.17.46 - - [24/Aug/2025:02:24:26 +0700] "GET /login HTTP/1.0" 200 1792 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
174.138.17.46 - - [24/Aug/2025:02:25:49 +0700] "GET / HTTP/1.0" 302 818 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
174.138.17.46 - - [24/Aug/2025:02:25:49 +0700] "GET /login HTTP/1.0" 200 1792 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
182.253.238.235 - - [24/Aug/2025:04:39:48 +0700] "GET /navigate/login.php HTTP/1.0" 404 5142 "-" "Mozilla/5.0 (Debian; Linux i686; rv:130.0) Gecko/20100101 Firefox/130.0"
182.253.238.235 - - [24/Aug/2025:04:39:48 +0700] "POST /admin/asign-single-student-subjects.php HTTP/1.0" 404 5142 "-" "Mozilla/5.0 (SS; Linux x86_64; rv:134.0) Gecko/20100101 Firefox/134.0"
159.65.7.227 - - [24/Aug/2025:04:44:22 +0700] "GET /README.md HTTP/1.0" 404 1645 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15"
159.65.7.227 - - [24/Aug/2025:04:44:22 +0700] "GET /index.php?p=about_slims HTTP/1.0" 302 818 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
159.65.7.227 - - [24/Aug/2025:04:44:22 +0700] "GET /login HTTP/1.0" 200 1792 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.110 Safari/537.36"
